Site,SiteIndex,Species,Corniferous,id,DBH,DTT,installation_height,lat,lon,CloudIndex,TTver,CloudName
Rostov,R-1,Quercus robur,FALSE,218A0282,199.5,199.5,1.2,47.234142,39.645801,,2,C18A0630
Rostov,R-1,Quercus robur,FALSE,218A0163,173,173,1.2,47.234237,39.645586,,2,C18A0630
Rostov,R-1,Quercus robur,FALSE,218A0249,151.4,151.4,1.2,47.23421,39.645694,,2,C18A0630
Rostov,R-1,Quercus robur,FALSE,218A0209,83,83,1.2,47.234538,39.645834,,2,C18A0630
Rostov,R-1,Tilia cordata,FALSE,218A0208,62,62,1.2,47.234078,39.645783,,2,C18A0630
Rostov,R-1,Tilia cordata,FALSE,218A0219,60.9,60.9,1.2,47.234005,39.645689,,2,C18A0630
Rostov,R-1,Tilia cordata,FALSE,218A0177,55.8,55.8,1.2,47.23408,39.645535,,2,C18A0630
Rostov,R-1,Tilia cordata,FALSE,218A0211,68.1,68.1,1.2,47.234068,39.645562,,2,C18A0630
Rostov,R-1,Tilia cordata,FALSE,218A0176,56.8,56.8,1.2,47.234081,39.645545,,2,C18A0630
Rostov,R-1,Pinus sylvestris,TRUE,218A0289,92.1,92.1,1.2,47.232953,39.645353,,2,C18A0630
Rostov,R-1,Pinus sylvestris,TRUE,218A0194,84.2,84.2,1.2,47.232892,39.64541,,2,C18A0630
Rostov,R-1,Pinus sylvestris,TRUE,218A0186,83.9,83.9,1.2,47.232916,39.645361,,2,C18A0630
Rostov,R-1,Pinus sylvestris,TRUE,218A0120,83,83,1.2,47.232785,39.64537,,2,C18A0630
Rostov,R-1,Picea abies,TRUE,218A0246,59.4,59.4,1.2,47.233012,39.644739,,2,C18A0630
Rostov,R-1,Picea abies,TRUE,218A0256,69.8,69.8,1.2,47.232908,39.644669,,2,C18A0630
Rostov,R-1,Picea abies,TRUE,218A0157,71.5,71.5,1.2,47.232861,39.644694,,2,C18A0630
Rostov,R-1,Pinus nigra pallasiana,TRUE,218A0216,61,61,1.2,47.233543,39.648389,,2,C18A0630
Rostov,R-1,Pinus nigra pallasiana,TRUE,218A0061,65.5,65.5,1.2,47.23339,39.648503,,2,C18A0630
Rostov,R-1,Pinus nigra pallasiana,TRUE,218A0227,75.4,75.4,1.2,47.233276,39.648494,,2,C18A0630
Rostov,R-1,TTR,FALSE,218A0056,,,2,47.233682,39.646014,,2,C18A0630
Saint Peterburg,SPb_AFI,Acer platanoides,FALSE,218A7896,43,,1.3,60.00087,30.38290,,2,CAC78001
Saint Peterburg,SPb_AFI,Acer platanoides,FALSE,218A7860,29,,1.4,60.00082,30.38358,,2,CAC78001
Saint Peterburg,SPb_AFI,Acer platanoides,FALSE,218A7825,33,,1.4,60.00052,30.38283,,2,CAC78001
Saint Peterburg,SPb_AFI,Betula alba,FALSE,218A7878,55,,1.45,60.00095,30.38210,,2,CAC78001
Saint Peterburg,SPb_AFI,Betula alba,FALSE,218A7857,36,,1.4,59.99898,30.38262,,2,CAC78001
Saint Peterburg,SPb_AFI,Betula alba,FALSE,218A7835,25,,1.3,60.00008,30.38338,,2,CAC78001
Saint Peterburg,SPb_AFI,Larix decidua,TRUE,218A7888,46,,1.37,59.99998,30.38192,,2,CAC78001
Saint Peterburg,SPb_AFI,Larix decidua,TRUE,218A7876,41,,1.4,59.99942,30.38217,,2,CAC78001
Saint Peterburg,SPb_AFI,Larix decidua,TRUE,218A7858,46,,1.4,59.99933,30.38212,,2,CAC78001
Saint Peterburg,SPb_AFI,Populus tremula,FALSE,218A7834,25,,1.44,60.00005,30.38232,,2,CAC78001
Saint Peterburg,SPb_AFI,Populus tremula,FALSE,218A7804,61,,1.44,60.00010,30.38305,,2,CAC78001
Saint Peterburg,SPb_AFI,Tilia cordata,FALSE,218A7875,34,,1.3,60.00078,30.38388,,2,CAC78001
